figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
report_fig5-14,HASAA-30BS_center,61,markers,454,330.024,258.331,2750.2,2152.8,7.5,7.5,4.9998,149.956
report_fig5-14,HASAA-30BS_center,62,markers,455,338.303,251.551,2819.2,2096.3,7.5,7.5,5.2669,159.565
report_fig5-14,HASAA-30BS_center,63,markers,456,345.803,247.801,2881.7,2065.0,7.5,7.56,5.5088,164.88
report_fig5-14,HASAA-30BS_center,64,markers,457,345.803,248.551,2881.7,2071.3,7.5,7.5,5.5088,163.817
report_fig5-14,HASAA-30BS_center,65,markers,458,361.613,246.301,3013.4,2052.5,7.56,7.56,6.0187,167.005
report_fig5-14,HASAA-30BS_center,66,markers,459,377.422,244.801,3145.2,2040.0,7.5,7.56,6.5287,169.131
report_fig5-14,HASAA-30BS_center,67,markers,460,393.203,244.801,3276.7,2040.0,7.5,7.56,7.0377,169.131
report_fig5-14,HASAA-30BS_center,68,markers,461,408.982,244.801,3408.2,2040.0,7.5,7.56,7.5467,169.131
report_fig5-14,HASAA-30BS_center,69,markers,462,424.042,246.301,3533.7,2052.5,7.5,7.56,8.0324,167.005
report_fig5-14,HASAA-30BS_center,70,markers,463,424.042,246.301,3533.7,2052.5,7.5,7.56,8.0324,167.005
report_fig5-14,HASAA-30BS_center,71,markers,464,439.821,247.051,3665.2,2058.8,7.5,7.5,8.5414,165.942
report_fig5-14,HASAA-30BS_center,72,markers,465,455.602,250.831,3796.7,2090.3,7.5,7.5,9.0504,160.586
report_fig5-14,HASAA-30BS_center,73,markers,466,455.602,251.551,3796.7,2096.3,7.5,7.5,9.0504,159.565
report_fig5-14,HASAA-30BS_center,74,markers,467,472.161,255.331,3934.7,2127.8,7.5,7.5,9.5845,154.208
report_fig5-14,HASAA-30BS_center,75,markers,468,472.161,255.331,3934.7,2127.8,7.5,7.5,9.5845,154.208
report_fig5-14,NON-00BS_center,1,markers,469,175.106,364.111,1459.2,3034.3,7.5,7.5,0.0028,0.042
report_fig5-14,NON-00BS_center,2,markers,471,176.637,360.391,1472.0,3003.3,7.56,7.5,0.0522,5.313
report_fig5-14,NON-00BS_center,3,markers,473,178.887,357.391,1490.7,2978.3,7.5,7.5,0.1247,9.565
report_fig5-14,NON-00BS_center,4,markers,475,179.637,355.111,1497.0,2959.3,7.56,7.5,0.1489,12.796
report_fig5-14,NON-00BS_center,5,markers,477,180.386,353.611,1503.2,2946.8,7.5,7.5,0.1731,14.922
report_fig5-14,NON-00BS_center,6,markers,479,180.386,353.611,1503.2,2946.8,7.5,7.5,0.1731,14.922
report_fig5-14,NON-00BS_center,7,markers,481,181.887,352.111,1515.7,2934.3,7.5,7.5,0.2215,17.048
report_fig5-14,NON-00BS_center,8,markers,483,183.387,349.891,1528.2,2915.8,7.5,7.5,0.2699,20.195
report_fig5-14,NON-00BS_center,9,markers,485,184.167,348.391,1534.7,2903.3,7.5,7.5,0.295,22.32
report_fig5-14,NON-00BS_center,10,markers,487,185.667,346.89,1547.2,2890.8,7.5,7.5,0.3434,24.447
report_fig5-14,NON-00BS_center,11,markers,489,186.387,344.611,1553.2,2871.8,7.5,7.5,0.3667,27.678
report_fig5-14,NON-00BS_center,12,markers,491,186.387,344.611,1553.2,2871.8,7.5,7.5,0.3667,27.678
report_fig5-14,NON-00BS_center,13,markers,493,187.916,343.111,1566.0,2859.3,7.56,7.5,0.416,29.803
report_fig5-14,NON-00BS_center,14,markers,495,188.667,341.611,1572.2,2846.8,7.5,7.5,0.4402,31.928
report_fig5-14,NON-00BS_center,15,markers,497,190.166,339.391,1584.7,2828.3,7.5,7.5,0.4886,35.075
report_fig5-14,NON-00BS_center,16,markers,499,191.666,337.891,1597.2,2815.8,7.5,7.5,0.537,37.201
report_fig5-14,NON-00BS_center,17,markers,501,193.167,335.611,1609.7,2796.8,7.5,7.5,0.5854,40.433
report_fig5-14,NON-00BS_center,18,markers,503,193.916,334.111,1616.0,2784.3,7.56,7.5,0.6095,42.558
report_fig5-14,NON-00BS_center,19,markers,505,195.447,332.611,1628.7,2771.8,7.5,7.5,0.6589,44.685
report_fig5-14,NON-00BS_center,20,markers,507,196.946,330.361,1641.2,2753.0,7.5,7.56,0.7073,47.873
report_fig5-14,NON-00BS_center,21,markers,509,198.446,328.861,1653.7,2740.5,7.5,7.56,0.7557,49.999
report_fig5-14,NON-00BS_center,22,markers,511,199.196,327.33,1660.0,2727.8,7.56,7.5,0.7798,52.168
report_fig5-14,NON-00BS_center,23,markers,513,199.196,327.33,1660.0,2727.8,7.56,7.5,0.7798,52.168
report_fig5-14,NON-00BS_center,24,markers,515,200.696,325.11,1672.5,2709.3,7.56,7.5,0.8282,55.314
report_fig5-14,NON-00BS_center,25,markers,517,202.196,323.611,1685.0,2696.8,7.56,7.5,0.8766,57.439
report_fig5-14,NON-00BS_center,26,markers,519,202.946,322.111,1691.2,2684.3,7.5,7.5,0.9008,59.565
report_fig5-14,NON-00BS_center,27,markers,521,203.696,321.331,1697.5,2677.8,7.56,7.5,0.925,60.67
report_fig5-14,NON-00BS_center,28,markers,523,205.197,319.831,1710.0,2665.3,7.56,7.5,0.9734,62.796
report_fig5-14,NON-00BS_center,29,markers,525,206.726,317.611,1722.7,2646.8,7.5,7.5,1.0227,65.942
report_fig5-14,NON-00BS_center,30,markers,527,207.446,316.111,1728.7,2634.3,7.5,7.5,1.0459,68.069
report_fig5-14,NON-00BS_center,31,markers,529,207.446,316.111,1728.7,2634.3,7.5,7.5,1.0459,68.069
report_fig5-14,NON-00BS_center,32,markers,531,208.946,314.611,1741.2,2621.8,7.5,7.5,1.0943,70.194
report_fig5-14,NON-00BS_center,33,markers,533,210.446,312.331,1753.7,2602.8,7.5,7.5,1.1427,73.425
report_fig5-14,NON-00BS_center,34,markers,535,211.976,310.831,1766.5,2590.3,7.56,7.5,1.1921,75.552
report_fig5-14,NON-00BS_center,35,markers,537,213.476,309.331,1779.0,2577.8,7.56,7.5,1.2404,77.677
report_fig5-14,NON-00BS_center,36,markers,539,213.476,309.331,1779.0,2577.8,7.56,7.5,1.2404,77.677
report_fig5-14,NON-00BS_center,37,markers,541,214.976,307.111,1791.5,2559.3,7.56,7.5,1.2888,80.823
report_fig5-14,NON-00BS_center,38,markers,543,215.726,305.611,1797.7,2546.8,7.5,7.5,1.313,82.949
report_fig5-14,NON-00BS_center,39,markers,545,217.226,304.111,1810.2,2534.3,7.5,7.5,1.3614,85.075
report_fig5-14,NON-00BS_center,40,markers,547,218.726,301.831,1822.7,2515.3,7.5,7.5,1.4098,88.307
report_fig5-14,NON-00BS_center,41,markers,549,220.226,300.331,1835.2,2502.8,7.5,7.5,1.4582,90.432
report_fig5-14,NON-00BS_center,42,markers,551,221.725,298.831,1847.7,2490.3,7.5,7.5,1.5065,92.559
report_fig5-14,NON-00BS_center,43,markers,553,223.256,296.611,1860.5,2471.8,7.56,7.5,1.5559,95.705
report_fig5-14,NON-00BS_center,44,markers,555,223.256,297.331,1860.5,2477.8,7.56,7.5,1.5559,94.684
report_fig5-14,NON-00BS_center,45,markers,557,224.756,295.111,1873.0,2459.3,7.56,7.5,1.6043,97.83
report_fig5-14,NON-00BS_center,46,markers,559,224.756,295.111,1873.0,2459.3,7.56,7.5,1.6043,97.83
report_fig5-14,NON-00BS_center,47,markers,561,226.255,293.61,1885.5,2446.8,7.56,7.5,1.6527,99.957
report_fig5-14,NON-00BS_center,48,markers,563,227.756,291.331,1898.0,2427.8,7.56,7.5,1.7011,103.188
report_fig5-14,NON-00BS_center,49,markers,565,229.255,289.831,1910.5,2415.3,7.56,7.5,1.7494,105.313
report_fig5-14,NON-00BS_center,50,markers,567,230.006,289.081,1916.7,2409.0,7.5,7.56,1.7736,106.377
report_fig5-14,NON-00BS_center,51,markers,569,231.505,287.581,1929.2,2396.5,7.5,7.56,1.822,108.502
report_fig5-14,NON-00BS_center,52,markers,571,231.505,288.331,1929.2,2402.8,7.5,7.5,1.822,107.439
report_fig5-14,NON-00BS_center,53,markers,573,233.006,286.081,1941.7,2384.0,7.5,7.56,1.8704,110.627
report_fig5-14,NON-00BS_center,54,markers,575,234.536,284.551,1954.5,2371.3,7.56,7.5,1.9198,112.796
report_fig5-14,NON-00BS_center,55,markers,577,234.536,284.551,1954.5,2371.3,7.56,7.5,1.9198,112.796
report_fig5-14,NON-00BS_center,56,markers,579,236.035,283.051,1967.0,2358.8,7.56,7.5,1.9681,114.922
report_fig5-14,NON-00BS_center,57,markers,581,237.536,280.831,1979.5,2340.3,7.56,7.5,2.0165,118.068
report_fig5-14,NON-00BS_center,58,markers,583,239.036,279.331,1992.0,2327.8,7.56,7.5,2.0649,120.195
report_fig5-14,NON-00BS_center,59,markers,585,240.535,277.831,2004.5,2315.3,7.56,7.5,2.1133,122.32
report_fig5-14,NON-00BS_center,60,markers,587,242.785,275.551,2023.2,2296.3,7.5,7.5,2.1858,125.551
report_fig5-14,NON-00BS_center,61,markers,589,244.286,274.051,2035.7,2283.8,7.5,7.5,2.2342,127.677
report_fig5-14,NON-00BS_center,62,markers,591,246.566,271.832,2054.7,2265.3,7.5,7.5,2.3078,130.823
report_fig5-14,NON-00BS_center,63,markers,593,248.816,270.331,2073.5,2252.8,7.56,7.5,2.3804,132.949
report_fig5-14,NON-00BS_center,64,markers,595,248.816,270.331,2073.5,2252.8,7.56,7.5,2.3804,132.949
report_fig5-14,NON-00BS_center,65,markers,597,250.315,268.831,2086.0,2240.3,7.56,7.5,2.4287,135.075
report_fig5-14,NON-00BS_center,66,markers,599,252.565,266.551,2104.7,2221.3,7.5,7.5,2.5013,138.306
report_fig5-14,NON-00BS_center,67,markers,601,254.845,265.051,2123.7,2208.8,7.5,7.5,2.5748,140.433
report_fig5-14,NON-00BS_center,68,markers,603,257.845,263.551,2148.7,2196.3,7.5,7.5,2.6716,142.558
report_fig5-14,NON-00BS_center,69,markers,605,260.095,261.331,2167.5,2177.8,7.56,7.5,2.7442,145.704
report_fig5-14,NON-00BS_center,70,markers,607,260.095,262.831,2167.5,2190.3,7.56,7.5,2.7442,143.579
report_fig5-14,NON-00BS_center,71,markers,609,263.845,260.551,2198.7,2171.3,7.5,7.5,2.8652,146.81
report_fig5-14,NON-00BS_center,72,markers,611,268.375,258.331,2236.5,2152.8,7.56,7.5,3.0113,149.956
report_fig5-14,NON-00BS_center,73,markers,613,273.625,256.831,2280.2,2140.3,7.5,7.5,3.1806,152.081
report_fig5-14,NON-00BS_center,74,markers,615,278.905,255.331,2324.2,2127.8,7.5,7.5,3.3509,154.208
report_fig5-14,NON-00BS_center,75,markers,617,281.904,254.551,2349.2,2121.3,7.5,7.5,3.4477,155.313
report_fig5-14,NON-00BS_center,76,markers,619,289.404,253.051,2411.7,2108.8,7.5,7.5,3.6896,157.439
report_fig5-14,NON-00BS_center,77,markers,621,300.684,251.551,2505.7,2096.3,7.5,7.5,4.0534,159.565
report_fig5-14,NON-00BS_center,78,markers,623,308.214,250.831,2568.5,2090.3,7.56,7.5,4.2963,160.586
report_fig5-14,NON-00BS_center,79,markers,625,315.744,250.051,2631.2,2083.8,7.5,7.5,4.5392,161.691
