figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.915,444.829,0.01691,131.698
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.915,444.081,0.01691,132.616
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,156.664,444.081,0.01795,132.616
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,156.664,443.333,0.01795,133.535
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,156.664,442.585,0.01795,134.453
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,156.664,441.836,0.01795,135.372
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,157.413,441.836,0.01898,135.372
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,157.413,441.088,0.01898,136.291
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,157.413,440.34,0.01898,137.209
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.162,440.34,0.02001,137.209
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,157.413,440.34,0.01898,137.209
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.162,440.34,0.02001,137.209
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.162,439.592,0.02001,138.128
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.162,438.844,0.02001,139.047
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.162,438.096,0.02001,139.965
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.911,438.096,0.02105,139.965
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.911,437.347,0.02105,140.884
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,158.911,436.599,0.02105,141.803
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,159.66,436.599,0.02208,141.803
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,159.66,435.851,0.02208,142.721
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,159.66,435.103,0.02208,143.64
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,160.409,435.103,0.02311,143.64
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,160.409,434.355,0.02311,144.559
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,160.409,433.606,0.02311,145.477
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,161.158,433.606,0.02415,145.477
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,161.158,432.858,0.02415,146.396
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,161.907,432.858,0.02518,146.396
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,161.907,432.11,0.02518,147.314
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,161.907,431.362,0.02518,148.233
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,162.656,431.362,0.02621,148.233
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,162.656,430.614,0.02621,149.152
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,163.406,430.614,0.02725,149.152
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,163.406,429.866,0.02725,150.07
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,163.406,429.117,0.02725,150.989
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,164.155,429.117,0.02828,150.989
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,164.155,428.369,0.02828,151.908
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,164.904,428.369,0.02932,151.908
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,164.904,427.621,0.02932,152.826
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,165.653,427.621,0.03035,152.826
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,165.653,426.873,0.03035,153.745
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,166.402,426.873,0.03138,153.745
